era,city,date,time,variant,apparent_shift_minutes,any_changed,changed
구표준시,서울,1956-12-04,08:41,noSolarTime,2,0,""
구표준시,서울,1956-12-04,10:48,noHistoricalTz,-30,1,"ascSign|planetHouses"
구표준시,서울,1956-12-04,10:48,noSolarTime,2,0,""
구표준시,서울,1956-12-04,12:55,noHistoricalTz,-30,1,"planetHouses"
구표준시,서울,1956-12-04,12:55,noSolarTime,2,0,""
구표준시,서울,1956-12-04,15:02,noHistoricalTz,-30,1,"planetHouses"
구표준시,서울,1956-12-04,15:02,noSolarTime,2,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar"
구표준시,서울,1956-12-04,17:09,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|planetHouses"
구표준시,서울,1956-12-04,17:09,noSolarTime,2,0,""
구표준시,서울,1956-12-04,19:16,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|mcSign|planetHouses"
구표준시,서울,1956-12-04,19:16,noSolarTime,2,0,""
구표준시,서울,1956-12-04,21:23,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|mcSign|planetHouses"
구표준시,서울,1956-12-04,21:23,noSolarTime,2,0,""
구표준시,서울,1956-12-04,23:30,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|planetHouses"
구표준시,서울,1956-12-04,23:30,noSolarTime,2,0,""
구표준시,부산,1956-01-08,00:13,noHistoricalTz,-30,1,"dayPillar|planetHouses"
구표준시,부산,1956-01-08,00:13,noSolarTime,-6,0,""
구표준시,부산,1956-01-08,02:20,noHistoricalTz,-30,1,"planetHouses"
구표준시,부산,1956-01-08,02:20,noSolarTime,-6,0,""
구표준시,부산,1956-01-08,04:27,noHistoricalTz,-30,1,"planetHouses"
구표준시,부산,1956-01-08,04:27,noSolarTime,-6,0,""
구표준시,부산,1956-01-08,06:34,noHistoricalTz,-30,1,"planetHouses"
구표준시,부산,1956-01-08,06:34,noSolarTime,-6,0,""
구표준시,부산,1956-01-08,08:41,noHistoricalTz,-30,1,"mcSign|planetHouses"
구표준시,부산,1956-01-08,08:41,noSolarTime,-6,0,""
구표준시,부산,1956-01-08,10:48,noHistoricalTz,-30,1,"ascSign|mcSign|planetHouses"
구표준시,부산,1956-01-08,10:48,noSolarTime,-6,0,""
구표준시,부산,1956-01-08,12:55,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|planetHouses"
구표준시,부산,1956-01-08,12:55,noSolarTime,-6,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar"
구표준시,부산,1956-01-08,15:02,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|mcSign|planetHouses"
구표준시,부산,1956-01-08,15:02,noSolarTime,-6,0,""
구표준시,부산,1956-01-08,17:09,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|mcSign|planetHouses"
구표준시,부산,1956-01-08,17:09,noSolarTime,-6,0,""
구표준시,부산,1956-01-08,19:16,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar|planetHouses"
구표준시,부산,1956-01-08,19:16,noSolarTime,-6,0,""
구표준시,부산,1956-01-08,21:23,noHistoricalTz,-30,1,"hourPillar|minggongBranch|bodyPalaceBranch|soulStar"
구표준시,부산,1956-01-08,21:23,noSolarTime,-6,0,""
구표준시,부산,1956-01-08,23:30,noHistoricalTz,-30,0,""
구표준시,부산,1956-01-08,23:30,noSolarTime,-6,0,""
구표준시,부산,1956-02-15,00:13,noHistoricalTz,-30,1,"dayPillar|planetHouses"
